id,value,weight,volume
0,25,8,8
1,17,8,7
2,34,6,2
3,28,2,1
4,12,5,7
5,23,7,2
6,39,7,1
7,12,10,6
8,44,10,2
9,10,2,8
10,17,7,3
11,35,6,1
12,27,1,3
13,31,7,4
14,15,1,3
15,49,4,2
16,28,1,7
17,35,2,4
18,31,10,5
19,29,1,7
20,34,7,2
21,28,1,1
22,48,10,8
23,33,9,4
24,22,1,1
25,19,7,2
26,28,7,1
27,35,5,7
28,11,2,8
29,26,3,2
30,37,8,3
31,27,6,2
32,32,6,2
33,11,10,7
34,41,5,8
35,26,9,8
36,34,8,8
37,23,1,5
38,18,6,1
39,49,4,7
40,25,8,3
41,32,9,5
42,24,10,3
43,34,6,3
44,15,3,7
45,16,1,1
46,50,5,7
47,26,2,3
48,10,1,7
49,18,8,6
50,39,8,7
51,34,1,8
52,24,7,1
53,47,9,7
54,35,5,3
55,13,1,3
56,22,7,3
57,37,8,5
58,36,3,8
59,33,5,4
60,14,10,6
61,44,8,6
62,33,3,7
63,20,5,1
64,31,8,4
65,14,1,4
66,14,3,1
67,46,7,4
68,22,6,5
69,38,10,2
