file,population,crossover,mutation,success_rate,avg_value,avg_generations,max_value
items_70.csv,50,uniform,bit_flip,100.00,1187.97,125.90,1218
items_70.csv,50,uniform,random_reset,100.00,1258.77,182.32,1265
items_70.csv,50,two_point,bit_flip,100.00,1194.83,136.44,1242
items_70.csv,50,two_point,random_reset,100.00,1257.27,184.34,1265
items_70.csv,100,uniform,bit_flip,100.00,1197.95,113.24,1231
items_70.csv,100,uniform,random_reset,100.00,1261.60,141.59,1265
items_70.csv,100,two_point,bit_flip,100.00,1201.60,132.91,1241
items_70.csv,100,two_point,random_reset,100.00,1262.11,146.50,1265
items_70.csv,200,uniform,bit_flip,100.00,1204.80,114.46,1245
items_70.csv,200,uniform,random_reset,100.00,1264.12,108.73,1265
items_70.csv,200,two_point,bit_flip,100.00,1200.87,114.72,1239
items_70.csv,200,two_point,random_reset,100.00,1263.62,133.73,1265
items_70.csv,500,uniform,bit_flip,100.00,1208.44,111.85,1242
items_70.csv,500,uniform,random_reset,100.00,1265.00,89.14,1265
items_70.csv,500,two_point,bit_flip,100.00,1206.96,113.09,1245
items_70.csv,500,two_point,random_reset,100.00,1264.93,103.89,1265
items_100.csv,50,uniform,bit_flip,100.00,1377.69,124.46,1436
items_100.csv,50,uniform,random_reset,100.00,1557.23,217.03,1569
items_100.csv,50,two_point,bit_flip,100.00,1380.85,137.60,1439
items_100.csv,50,two_point,random_reset,100.00,1559.42,224.76,1569
items_100.csv,100,uniform,bit_flip,100.00,1388.10,120.39,1441
items_100.csv,100,uniform,random_reset,100.00,1564.36,162.73,1569
items_100.csv,100,two_point,bit_flip,100.00,1395.88,131.64,1476
items_100.csv,100,two_point,random_reset,100.00,1563.73,177.49,1569
items_100.csv,200,uniform,bit_flip,100.00,1400.33,115.26,1453
items_100.csv,200,uniform,random_reset,100.00,1567.73,119.48,1569
items_100.csv,200,two_point,bit_flip,100.00,1398.19,119.95,1458
items_100.csv,200,two_point,random_reset,100.00,1568.00,146.32,1569
items_100.csv,500,uniform,bit_flip,100.00,1407.79,107.91,1459
items_100.csv,500,uniform,random_reset,100.00,1568.73,85.84,1569
items_100.csv,500,two_point,bit_flip,100.00,1408.83,118.00,1458
items_100.csv,500,two_point,random_reset,100.00,1568.71,107.38,1569
items_150.csv,50,uniform,bit_flip,100.00,1706.74,123.49,1810
items_150.csv,50,uniform,random_reset,100.00,2104.20,274.47,2142
items_150.csv,50,two_point,bit_flip,100.00,1708.88,127.54,1831
items_150.csv,50,two_point,random_reset,100.00,2106.22,292.81,2140
items_150.csv,100,uniform,bit_flip,100.00,1730.78,112.44,1793
items_150.csv,100,uniform,random_reset,100.00,2124.99,215.74,2146
items_150.csv,100,two_point,bit_flip,100.00,1735.04,120.64,1866
items_150.csv,100,two_point,random_reset,100.00,2125.93,245.78,2146
items_150.csv,200,uniform,bit_flip,100.00,1743.01,105.26,1841
items_150.csv,200,uniform,random_reset,100.00,2135.91,162.99,2146
items_150.csv,200,two_point,bit_flip,100.00,1739.49,115.58,1826
items_150.csv,200,two_point,random_reset,100.00,2136.68,205.05,2146
items_150.csv,500,uniform,bit_flip,100.00,1754.15,109.55,1835
items_150.csv,500,uniform,random_reset,100.00,2144.14,118.93,2146
items_150.csv,500,two_point,bit_flip,100.00,1756.39,118.79,1854
items_150.csv,500,two_point,random_reset,100.00,2143.42,164.40,2146
items_200.csv,50,uniform,bit_flip,100.00,1517.66,111.87,1661
items_200.csv,50,uniform,random_reset,100.00,2170.68,298.49,2217
items_200.csv,50,two_point,bit_flip,100.00,1532.88,123.61,1718
items_200.csv,50,two_point,random_reset,100.00,2176.62,319.90,2213
items_200.csv,100,uniform,bit_flip,100.00,1547.41,112.22,1695
items_200.csv,100,uniform,random_reset,100.00,2194.38,244.20,2217
items_200.csv,100,two_point,bit_flip,100.00,1547.03,113.49,1706
items_200.csv,100,two_point,random_reset,100.00,2195.75,258.29,2217
items_200.csv,200,uniform,bit_flip,100.00,1566.47,110.33,1673
items_200.csv,200,uniform,random_reset,100.00,2205.70,177.58,2217
items_200.csv,200,two_point,bit_flip,100.00,1553.86,107.65,1646
items_200.csv,200,two_point,random_reset,100.00,2207.93,215.85,2217
items_200.csv,500,uniform,bit_flip,100.00,1584.25,106.16,1692
items_200.csv,500,uniform,random_reset,100.00,2214.23,119.74,2217
items_200.csv,500,two_point,bit_flip,100.00,1576.75,107.63,1695
items_200.csv,500,two_point,random_reset,100.00,2213.46,166.87,2217
items_500.csv,50,uniform,bit_flip,100.00,1313.81,98.67,1427
items_500.csv,50,uniform,random_reset,100.00,2424.08,395.59,2528
items_500.csv,50,two_point,bit_flip,100.00,1321.63,96.64,1457
items_500.csv,50,two_point,random_reset,100.00,2435.03,413.84,2537
items_500.csv,100,uniform,bit_flip,100.00,1342.06,98.52,1474
items_500.csv,100,uniform,random_reset,100.00,2507.59,360.39,2564
items_500.csv,100,two_point,bit_flip,100.00,1344.53,102.74,1487
items_500.csv,100,two_point,random_reset,100.00,2516.36,413.09,2570
items_500.csv,200,uniform,bit_flip,100.00,1349.84,91.59,1468
items_500.csv,200,uniform,random_reset,100.00,2545.60,295.54,2588
items_500.csv,200,two_point,bit_flip,100.00,1348.30,95.34,1463
items_500.csv,200,two_point,random_reset,100.00,2549.84,369.40,2582
items_500.csv,500,uniform,bit_flip,100.00,1375.60,92.41,1495
items_500.csv,500,uniform,random_reset,100.00,2579.60,187.21,2595
items_500.csv,500,two_point,bit_flip,100.00,1377.49,94.04,1475
items_500.csv,500,two_point,random_reset,100.00,2576.19,307.33,2595
